trek_id,trek_name,latitude,longitude,status,weather_file
43,Rudranath,30.4502,79.2965,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_43_weather.json
44,Tungnath–Chandrashila,30.4851,79.1765,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_44_weather.json
45,Deoriatal–Bisuri Tal,30.495,79.1245,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_45_weather.json
46,Kartik Swami,30.3425,79.1416,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_46_weather.json
47,Chandrashila–Tungnath Extended,30.4851,79.1765,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_47_weather.json
48,Surya Top,30.7938,78.6015,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_48_weather.json
49,Dayara–Bakaria Top,30.7938,78.6015,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_49_weather.json
50,Bedni–Wan,30.1558,79.5786,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_50_weather.json
51,Rupin Pass,31.1167,78.0833,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_51_weather.json
52,Bali Pass,31.0792,78.1764,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_52_weather.json
53,Ruinsara Tal,31.0792,78.1764,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_53_weather.json
54,Har Ki Dun–Ruinsara,31.0792,78.1764,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_54_weather.json
56,Satopanth Lake,30.7722,79.4955,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_56_weather.json
57,Vasuki Tal,30.6527,79.0267,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_57_weather.json
58,Gaumukh,30.9947,78.9398,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_58_weather.json
59,Tapovan,30.9947,78.9398,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_59_weather.json
60,Gaumukh–Tapovan,30.9947,78.9398,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_60_weather.json
61,Roopkund,30.1558,79.5786,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_61_weather.json
62,Nanda Devi Base Camp,30.0766,80.2415,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_62_weather.json
63,Milam Glacier,30.0766,80.2415,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_63_weather.json
64,Ralam Glacier,30.0766,80.2415,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_64_weather.json
65,Sunderdhunga Glacier,30.1065,79.9405,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_65_weather.json
66,Kedar Tal,30.9947,78.9398,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_66_weather.json
67,Kalindi Khal,30.9947,78.9398,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_67_weather.json
68,Auden's Col,30.9947,78.9398,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_68_weather.json
69,Bhagirathi Parvat Approach,30.9947,78.9398,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_69_weather.json
70,Gangotri–Kedarnath Traverse,30.9947,78.9398,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_70_weather.json
71,Panpatia Col,30.7447,79.4914,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_71_weather.json
72,Mana Pass,30.7722,79.4955,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_72_weather.json
73,Sinla Pass,29.8525,80.5283,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_73_weather.json
74,Adi Kailash,29.8525,80.5283,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_74_weather.json
75,Om Parvat,29.8525,80.5283,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_75_weather.json
76,Adi Kailash–Om Parvat Circuit,29.8525,80.5283,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_76_weather.json
77,Chiplakot,29.9322,80.5986,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_77_weather.json
79,Panchachuli Base Camp,29.8525,80.5283,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_79_weather.json
80,Kalpeshwar–Rudranath–Madhyamaheshwar,30.5281,79.4972,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_80_weather.json
81,Deoban,30.7016,77.8696,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_81_weather.json
82,Gidara Bugyal,30.8402,78.6875,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_82_weather.json
89,Har Ki Dun–Maninda Tal,31.0792,78.1764,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_89_weather.json
93,Malla–Kush Kalyan,30.6111,78.7216,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_93_weather.json
94,Panwali Kantha,30.4166,78.65,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_94_weather.json
95,Sahastratal,30.6111,78.7216,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_95_weather.json
96,Kush Kalyan Bugyal,30.6111,78.7216,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_96_weather.json
97,Dayara–Gidara Traverse,30.7938,78.6015,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_97_weather.json
99,Namik Glacier,30.0538,80.0016,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_99_weather.json
100,Ralam–Milam Circuit,30.0766,80.2415,SUCCESS,C:\7thsem\uttarakhand-trek-intelligence\pipeline\data\raw\weather\trek_100_weather.json
